FechaInicio,NúmeroEntrevista,DISTRITO,(P0B*R1AE) - Sexo (anotar),(P0D*R1AS) - ¿Me puede decir su edad?,"P0F*R1AS) - Actualmente, ¿está viviendo en...?",(P1*M1AS) - b - En su distrito,(P1*M1AS) - c - En su barrio,(P2*M10S) - b - En su distrito,(P2*M10S) - c - En su barrio,(P3*M10S) - a - En Madrid,(P3*M10S) - b - En su distrito,(P3*M10S) - c - En su barrio,(P4*M10S) - a - Cuidado y conservación de la ciudad,(P4*M10S) - b - Movilidad y transporte público,(P4*M10S) - c - Calidad medioambiental,(P4*M10S) - d - Facilidad para encontrar un trabajo,(P4*M10S) - e - Facilidad para emprender un negocio,(P4*M10S) - f - Imagen internacional de Madrid,(P4*M10S) - g - Coste de la vida,(P4*M10S) - h - Integración social,(P4*M10S) - i - Salud y servicios sanitarios,(P4*M10S) - j - Educación y centros educativos,(P4*M10S) - k - Facilidad para encontrar una vivienda en el marco de sus posibilidades,(P4*M10S) - l - Facilidad para hacer deporte,"(P4*M10S) - m - Oferta cultural, ocio y diversión",(P4*M10S) - n - Convivencia vecinal,(P4*M10S) - o - Seguridad,(P5B*R1AE) - Anotar 2ª problema,(P6*M10S) - a - Desigualdad de oportunidades entre hombres y mujeres,(P6*M10S) - b - Desigualdad de oportunidades entre la población extranjera y autóctona,(P7*M10S) - a - Las personas mayores,(P7*M10S) - b - La infancia,(P7*M10S) - c - Las personas con discapacidad,(P7*M10S) - d - Las personas lgtbiq+,(P7*M10S) - e - Los migrantes,(7*M10S) - f - La adolescencia,(P8*M10S) - a - La recogida de basuras y contenedores,"(P8*M10S) - b - La gestión y tratamiento de residuos (reciclaje, compostaje, etc.)",(P8*M10S) - c - El control de la contaminación atmosférica,(P8*M10S) - d - El control del ruido,(P8*M10S) - e - La limpieza de las calles,(P8*M10S) - f - El alumbrado público,"(P8*M10S) - g - Las infraestructuras de la ciudad para la circulación de vehículos (calles, túneles, etc.…)",(P8*M10S) - h - La pavimentación y conservación de las aceras,(P8*M10S) - i - El asfaltado y conservación de las calzadas,(P8*M10S) - j - La peatonalización de calles,"(P8*M10S) - k - La eliminación de barreras arquitectónicas (rebaje de bordillos, semáforos acústicos, etc.)",(P8*M10S) - l - La movilidad sostenible,(P8*M10S) - v - La mejora de la calidad del aire,(P8*M10S) - m - La conservación y rehabilitación de los edificios,(P8*M10S) - n - La protección de monumentos y del patrimonio histórico-artístico,(P8*M10S) - o - La información y promoción turística,"(P8*M10S) - p - La organización de fiestas y eventos populares (cabalgata, fiestas de san isidro, fiestas de los distritos...)","(P8*M10S) - q - El control de la salud pública (plagas, alimentos, aguas...)",(P8*M10S) - r - Las ayudas e incentivos a pymes y autónomos,(P8*M10S) - t - La promoción pública de viviendas,(P8*M10S) - w - La actuación frente a la ocupación ilegal,"(P8*M10S) - u - Los beneficios fiscales promovidos por el ayuntamiento (bajada de impuestos, bonificaciones...)",(P8*M10S) - x - El plan de fomento de la natalidad y la conciliación (el cheque bebé),(P9*M10S) - a - La atención a la ciudadanía,(P9*M10S) - c - El servicio de autobuses de la Emt,(P9*M10S) - d - Los taxis,(P9*M10S) - e - El ser (servicio de estacionamiento regulado),(P9*M10S) - f - Los agentes de movilidad,(P9*M10S) - g - La policía municipal,(P9*M10S) - h - Los bomberos,(P9*M10S) - i - Samur – protección civil,(P9*M10S) - j - La beca infantil para la escolarización 0-3 años,"(P9*M10S) - k - Los servicios sociales municipales (mayores, personas con discapacidad, inmigrantes, familias, …)",(P9*M10S) - l - Las vías ciclistas,(P9*M10S) - m - Los aparcamientos municipales,(P9*M10S) - n - Los puntos limpios de recogida y reciclaje de residuos,(P9*M10S) - o - Los espacios verdes (parques y jardines),(P9*M10S) - p - Los parques infantiles,(P9*M10S) - q - Los mercados municipales,(P9*M10S) - r - Las instalaciones deportivas municipales,(P9*M10S) - s - Los centros culturales municipales,(P9*M10S) - t - Las bibliotecas municipales,"(P9*M10S) - u - Los teatros municipales (Español, Matadero, Fernán Gómez…)",(P9*M10S) - v - El Samur social,(P9*M10S) - w - Bicimad,(P11*M10S) - b - Durante el día,(P11*M10S) - c - Durante la noche,(P13*M10S) - b - Durante el día,(P13*M10S) - c - Durante la noche,(P20*M2AS) - b - Segundo,Ponderacion
19-sep-25,1449659,2,1,1,1,9,9,8,9,8,9,10,8,10,9,8,99,9,5,8,8,8,4,10,10,7,9,97.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,9.0,5.0,8.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,236126"
19-sep-25,1449660,4,1,4,1,9,10,9,9,10,10,10,8,10,7,9,9,10,7,8,8,8,7,9,10,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,8.0,7.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,99.0,9.0,7.0,9.0,9.0,6.0,"0,787242"
19-sep-25,1449661,8,1,3,4,8,9,7,8,7,8,9,5,7,5,5,5,8,5,7,5,7,2,7,8,7,7,8.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,8.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,7.0,8.0,7.0,5.0,6.0,2.0,2.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,270241"
19-sep-25,1449662,5,1,3,4,7,8,7,7,6,9,8,7,8,6,7,6,8,9,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,6.0,8.0,7.0,8.0,7.0,6.0,8.0,8.0,7.0,8.0,5.0,7.0,7.0,8.0,6.0,7.0,8.0,9.0,7.0,5.0,8.0,7.0,7.0,8.0,6.0,"0,692541"
19-sep-25,1449663,20,1,4,3,7,10,7,9,10,9,10,8,9,6,7,7,9,5,99,9,99,4,10,10,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,6.0,6.0,6.0,8.0,10.0,10.0,99.0,8.0,5.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,5.0,9.0,7.0,10.0,10.0,1.0,"1,023298"
19-sep-25,1449664,1,1,2,4,10,10,10,10,10,99,10,9,10,8,10,10,10,9,9,10,10,6,8,10,10,9,3.0,5.0,10.0,9.0,10.0,10.0,9.0,1.0,10.0,1.0,2.0,6.0,3.0,7.0,7.0,8.0,5.0,4.0,7.0,7.0,7.0,5.0,3.0,8.0,8.0,7.0,6.0,5.0,8.0,1.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,94273"
19-sep-25,1449665,6,1,3,5,7,7,7,7,7,8,8,7,8,5,6,5,7,5,5,6,7,6,7,7,5,7,2.0,2.0,2.0,5.0,7.0,5.0,10.0,5.0,8.0,2.0,5.0,3.0,6.0,3.0,6.0,6.0,6.0,6.0,3.0,6.0,7.0,3.0,6.0,7.0,7.0,7.0,6.0,5.0,5.0,2.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,920725"
19-sep-25,1449666,4,1,3,4,9,9,8,9,7,8,8,7,9,7,6,6,8,4,6,7,8,4,7,8,6,7,97.0,5.0,6.0,7.0,8.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,9.0,7.0,8.0,8.0,7.0,6.0,6.0,7.0,9.0,8.0,6.0,7.0,7.0,6.0,6.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,735759"
19-sep-25,1449667,16,1,2,5,9,9,10,10,8,7,8,8,10,7,10,9,10,2,9,6,10,3,10,10,8,9,99.0,0.0,0.0,10.0,99.0,10.0,99.0,5.0,99.0,8.0,8.0,5.0,5.0,9.0,10.0,6.0,9.0,10.0,10.0,10.0,8.0,9.0,7.0,10.0,10.0,10.0,8.0,5.0,1.0,0.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,209711"
19-sep-25,1449668,12,1,1,4,8,8,9,9,9,9,9,8,9,9,10,9,9,10,9,8,9,10,9,8,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,8.0,8.0,7.0,9.0,7.0,9.0,8.0,9.0,9.0,8.0,9.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,10.0,6.0,"1,484672"
